"codcompra","mododisputa","disputaaberto","aditivos","vigencia_inicio","vigencia_fim","anos","valor_inicial","valor_global","diferenca_valor","percentual_diferenca_valor"
"15851799000032018","Aberto","True","5","2018-11-22","2022-12-30","4.0","11446662.99","12517945.28","1071282.29","9.358904782432141"
"15871799000022018","Aberto","True","2","2019-01-18","2020-12-27","1.0","1051870.0","1129000.99","77130.99","7.332749294114293"
"19300299000042018","Aberto","True","5","2020-04-29","2022-06-04","2.0","692800.0","692800.0","0.0","0.0"
"19300299000062018","Aberto","True","5","2019-05-30","2020-11-30","1.0","31595959.08","31595959.08","0.0","0.0"
"20012299000022018","Fechado","False","4","2019-08-06","2021-08-06","2.0","1797176.74","1797176.7","-0.04","-2.225713203922281e-06"
"20012799000012018","Aberto","True","4","2019-01-03","2022-01-03","3.0","2707636.78","111364.18","-2596272.6","-95.88703400608999"
"25446299000142018","Aberto","True","5","2019-07-08","2021-02-26","2.0","2039592.34","16561.44","-2023030.9","-99.18800244170362"
"39007099001272018","Aberto","True","9","2022-07-22","2023-01-30","1.0","2100000.0","2100000.0","0.0","0.0"
"39300399003242018","Aberto","True","4","2019-06-11","2022-08-24","3.0","104060724.38","104060724.38","0.0","0.0"
"39301199000612018","Aberto","True","6","2018-08-01","2021-12-22","3.0","22384362.0","22384362.0","0.0","0.0"
"39301399003352018","Aberto","True","4","2018-09-05","2021-03-03","3.0","26000000.0","6016.78","-25993983.22","-99.97685853846154"
"39301499002782018","Aberto","True","3","2019-01-17","2024-03-30","5.0","6650000.0","6650000.0","0.0","0.0"
"39301599001632018","Aberto","True","8","2018-11-05","2022-08-31","4.0","23105687.47","23105687.47","0.0","0.0"
"39301699001772018","Aberto","True","4","2018-10-18","2021-01-04","3.0","17949979.0","17949979.0","0.0","0.0"
"39302699000012018","Aberto","True","6","2018-07-17","2023-07-15","5.0","30142557.78","30142557.78","0.0","0.0"
"39302999000572018","Aberto","True","6","2018-07-20","2021-09-13","3.0","18903795.09","0.0","-18903795.09","-100.0"
"53001399000032018","Aberto","True","5","2019-05-03","2022-02-28","3.0","27407488.51","47505263.84","20097775.33","73.32950380574654"
"15018299000082019","Fechado/Aberto","True","5","2020-01-08","2023-11-15","3.0","15970813.5","30294022.49","14323208.99","89.6836531839784"
"15018299000132019","Aberto","True","5","2020-05-26","2021-12-26","1.0","106348.33","0.0","-106348.33","-100.0"
"15316399000052019","Fechado/Aberto","True","5","2019-11-07","2023-10-21","4.0","3944442.25","3963298.51","18856.26","0.4780462941243467"
"15317699000012019","Fechado/Aberto","True","1","2020-01-13","2021-03-31","1.0","252387.0","252387.0","0.0","0.0"
"15404099000112019","Aberto","True","17","2019-12-27","2022-12-27","3.0","4157000.0","4462842.74","305842.74","7.3572946836661055"
"15404099000122019","Aberto","True","17","2019-12-13","2021-01-13","2.0","780000.0","1986.57","-778013.43","-99.74531153846154"
"15404099000132019","Aberto","True","17","2019-12-13","2021-03-13","2.0","720000.0","16662.19","-703337.81","-97.68580694444445"
"15404799000062019","Aberto","True","8","2020-02-10","2022-01-30","2.0","131950.0","139475.0","7525.0","5.702917771883289"
"15404799000082019","Aberto","True","8","2020-06-26","2021-07-19","1.0","2440000.0","2440000.0","0.0","0.0"
"15404999000012019","Aberto","True","12","2019-08-15","2021-10-02","2.0","267000.0","322917.18","55917.18","20.94276404494382"
"15405499000072019","Fechado","False","2","2020-03-27","2022-03-16","2.0","1563744.8","1778928.57","215183.77","13.760798437187448"
"15421599000022019","Aberto","True","13","2019-12-19","2022-09-05","3.0","5580899.0","5580899.0","0.0","0.0"
"15501399000012019","Aberto","True","1","2019-06-05","2020-12-30","1.0","3101999.63","1502177.08","-1599822.55","-51.57391169643692"
"15501599000102019","Aberto","True","12","2020-01-16","2021-01-16","1.0","199902.99","199902.99","0.0","0.0"
"15501599000102019","Aberto","True","12","2020-01-20","2021-07-30","1.0","610000.0","762161.84","152161.84","24.94456393442623"
"15563199000022019","Aberto","True","6","2020-01-13","2021-10-11","1.0","187270.0","187270.0","0.0","0.0"
